Size,Insertion Sort,Selection Sort,Bubble Sort,Merge Sort,Counting Sort
100,0.0,0.0,0.0,0.998,0.0
500,15.964,8.976,20.946,0.998,0.998
1000,76.767,33.942,92.752,3.989,0.0
1500,160.57,76.795,202.459,5.985,0.0
2000,293.216,135.637,374.0,8.976,1.005
3000,636.299,329.088,837.759,13.963,0.0
4000,1164.886,561.499,1476.055,18.95,0.997
6000,2575.152,1257.638,3411.881,28.922,0.997
8000,4488.966,2219.068,6002.988,39.893,1.995
10000,7389.246,3527.57,9278.162,52.859,1.995
12000,10784.171,4965.724,13409.152,64.861,1.994
